site,day_of_month,month,year,text,species,count,areaTextMatch,visitId
Mersey Valley,3,April,2016,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS387996704
Mersey Valley,29,August,2016,"Count: null, observerId: obsr508556, duration: 135, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,X,"Count: null, observerId: obsr508556, duration: 135, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS426156884
Mersey Valley,21,March,2016,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS384641804
Mersey Valley,4,May,2016,"Count: null, observerId: obsr508556, duration: 150, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",Stock Dove,X,"Count: null, observerId: obsr508556, duration: 150, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS398154750
Mersey Valley,13,March,2016,"Count: null, observerId: obsr508556, duration: 150, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,X,"Count: null, observerId: obsr508556, duration: 150, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS380980659
Mersey Valley,12,February,2016,"Count: null, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,X,"Count: null, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS372662582
Mersey Valley,11,January,2016,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 4.828, area covered: null, trip comments: null, species comments: null",Stock Dove,X,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 4.828, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS365229697
Mersey Valley,25,September,2016,"Count: 1, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS432003880
Mersey Valley,15,March,2016,"Count: 4, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",Stock Dove,4,"Count: 4, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS382171809
Mersey Valley,5,June,2016,"Count: null, observerId: obsr508556, duration: 60, number of observers: 1, distance covered: 4.828, area covered: null, trip comments: null, species comments: null",Stock Dove,X,"Count: null, observerId: obsr508556, duration: 60, number of observers: 1, distance covered: 4.828, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS409987701
